jaanaa,जानाँ
kohariya,कोहरिया
sone,सोने
papiihaa,पपीहा
bhigote,भिगोते
libaas,लिबास
mukshkilein,मुश्किलें
saramaaye,सरमाये
saal,सा
amaruud,अमरूद
jhumati,झूमती
jaagti,जागती
ujaalon,उजाले
bolie,बोलिए
gumshuda,गुमशुदा
jinmein,जिनमें
lamahon,लमहों
jogan,जोगन
beetengi,बीतेगी
dungi,दूंगी
chodke,छोड़के
muskuraataa,मुस्कुराता
l,ल
dhuni,धुनि
raavaan,रावां
chalaak,चालाक
hilen,हिलें
dukhana,दुखाना
dastakein,दस्तकें
bachaao,बचाओ
rutabaa,रुतबा
rakhane,रख्ने
karuun,करून
chhuriyaan,छुरियां
sochogii,सोचोगी
sinduri,सिंदूरी
pahaad,पहाड़
saase,सासे
aramanon,अर्मानों
idiyat,इडियट
behte,बहतें
duboe,डुबोए
tarah,तरह
rahele,रहेले
fisal,फिसल
haste,हसते
baandh,बाँध
thukaraae,ठुकराए
filmein,फ़िल्में
unchee,ऊँची
jangal,जंगल
janvari,जनवरी
dhyan,ध्यान
sataayaa,सताया
bu,बू
hadippaa,हड़िप्पा
lafade,लफ़ड़े
baabaa,बाबा
dikhaayi,दिखाई
basaakar,बसाकर
dukhiyaa,दुखिया
dehari,देहरी
uthati,उठाती
mohabbaton,मोहब्बतों
den,दें
hanste,हँस्ते
dravinm,द्रविणम
puujaari,पूजारी
badte,बढ़ते
pooji,पूजी
ruke,रुक
mine,मिने
didar,दीदार
galiyan,गलियाँ
baangaali,बांगाली
behgana,बेगाना
chhupat,छुपत
milk,मिल्क
shaah,शाह
haragij,हरगिज
humbe,हुम्बे
sushmita,सुष्मिता
hirni,हिरनी
namkin,नमकीन
chhuri,छुरी
tinakaa,तिनका
minaa,मीना
living,लिविंग
suhaaye,सुहाये
bhulaate,भुलाते
kahatee,कहती
pasije,पसीजे
takrayega,टकराएगा
foolegaa,फूलेगा
bhaari,भारी
aashiqko,आशिक़ों
diljale,दिलजले
hasthe,हँसते
japaani,जपानी
taqaaza,तक़ाज़ा
bhigoyi,भिगोय
saawali,सांवली
bahake,बहके
kaljugmein,कलजुगमें
maaya,मैया
chitaa,चिता
bahaara,बहारा
nageena,नगीना
roen,रोएं
tadapega,तड़पेगा
qadam,क़दम
chaadaron,चादरों
nikelne,निकलने
nishaana,निशाना
ramata,रमता
kisie,किसी
nakharevaalii,नखरेवाली
bulaave,बुलावे
tarasii,तरसी
hukuumat,हुकूमत
deejo,दीजो
koote,कूटे
parinda,परिन्दा
doorabin,दूरबीन
siite,सीते
sabaki,सबकी
sunaauun,सुनाऊँ
pani,पनी
laun,लाऊँ
machalega,मचलेगा
soyi,सोयि
gungunaati,गुनगुनाती
masataani,मसतानी
pherakar,फेरकर
shola,शोला
bandhushch,बंधुश्च
miloongee,मिलूँगी
vyaar,व्यार
zaroorii,ज़रूरी
jurma,जुर्म
murajhaayein,मुरझायें
maao,माओ
sataataa,सताता
kisibhi,किसीभी
miinaa,मीना
bhulaanaa,भुलाना
kanya,कन्या
rakhiyo,रखियो
haseen,हसीन
chaliye,छलिये
ghirane,गिरने
kayaal,ख़याल
for,फॉर
tapki,टपकी
khayaalaat,ख़्हयालात
beto,बेटो
daag,दाग
rahat,राहत
bataayi,बताई
lagta,लग्ता
haa,हाँ
kararee,करारी
boliyaan,बोलियां
saath,सात
jhooton,झूटों
hamm,हम्म
beqal,बेक़ल
sharamaaye,शरमाये
shehanaayi,शेहनाई
vafaao,वफ़ाओ
an,आन
aji,अजि
mahamaan,महमान
laheraaoon,लहराऊँ
sozaan,सोज़ाँ
awaarapaan,आवारापन
bitaaun,बिताउँ
ruuthanevaali,रूठनेवाली
signal,सिगनल
hansiyaan,हँसियाँ
jagmagaao,जगमगाओ
laye,लाये
kajaraa,कजरा
ummeeden,उम्मीदें
baadarava,बादरवा
barasegaa,बरसेगा
dari,डरी
luti,लूटीं
bas,भी
barbaadiyon,बरबादियों
sikhaaoonga,सिखाऊँगा
aaraju,आरजु
jitne,जीतने
dardaan,दर्दाँ
padein,पड़ें
karo,कर
sundar,सुन्दर
sajayaaa,सजाया
jhukaaya,झुकाया
hasinaa,हसीना
kartaa,करता
navaan,नवाँ
piihu,पीहू
roktaa,रोकता
dostaanaa,दोस्ताना
badalana,बदलना
jhukne,झुकने
kashtiyaan,कश्तियां
pitaako,पिताको
ankhiyan,अखियाँ
tumhaari,तुम्हारी
ghabaraao,घबराओ
dabi,दबी
muskaraayegaa,मुस्करायेगा
payaas,प्यास
dali,डली
aradhana,आराधना
kitanon,कितनों
chhaava,छावा
chhinte,छीनते
chupaaya,छुपाया
bejuba,बजुबा
kasaa,कसा
piyaa,पीया
teetar,तीतर
dekhanaa,देखना
bajaae,बजाये
mohlat,मोहलत
sangraam,सन्गराम
sundari,सुंदरी
rondiyaan,रोंदियाँ
toda,तोड़
ghadiyan,घड़ियाँ
pehlu,पेह्लू
muk,मुक
muskuraatee,मुस्कुराती
jhulaane,झुलाने
andhkaar,अंधकार
ambike,अम्बिके
caravaan,चरवाँ
takaraane,टकराने
raajadulaari,राजदुलारी
tyaage,त्यागे
laharaayein,लहरायें
guzaroon,गुज़रूँ
phirke,फिरके
bujhaaoon,बुझाऊँ
falak,फ़लक
jazbaaton,जज़्बातों
tareef,तारीफ़
ruuthe,रूठे
dube,डूबे
hoshiyar,होशियर
aatama,आतमा
bus,बस
basta,बसता
bhaang,भांग
dhakelati,धकेलती
sambhaalegi,सम्भालेगी
daalunga,डालूँगा
aarasi,आरसी
khaayega,खायेगा
anajaan,अंजान
tair,टायर
jun,जून
chamakegein,चमकेगें
kurte,कुर्ते
dolii,डोली
kahetaa,कहता
sulajhaaon,सुलझाऊँ
chudana,छुड़ाना
chuppayega,छुपाएगा
choohon,चूहों
sum,सम
teli,तेली
ranginio,रंगीनियों
satate,सताते
awataar,अवतार
paigham,पैगाम
todun,तोड़ूँ
baavaraa,बावरा
jodaa,जोड़ा
dahala,दहला
najariya,नज़रीया
pain,पाईं
lagate,लगते
hawaai,हवाई
gali,गली
nayanon,नयनों
rangee,रंगीं
raasate,रास्ते
lutegi,लुटेगी
medhii,मेढ़ी
ajab,अजब
pataa,पता
laaii,लाई
marna,मरना
al,अल
kaante,काँटें
balaayein,बलायें
nahalaane,नहलाने
sarf,सर
bajaakar,बजाकर
dubota,डुबोता
karz,कर्ज़
paiso,पैसो
tarasaaya,तरसाया
kuch,कुछ
beqaraariyaan,बेक़रारियाँ
bilakul,बिलकुल
koyi,कि
tadapaaya,तड़पाया
aach,आच
nirale,निराले
kehki,कहके
sadha,सादा
huzur,हुज़ूर
ghera,घेरा
kehten,कहतें
pyaari,पियारी
nishanii,निशानी
alung,अलुंग
chaalu,चालू
naz,नाज़
saraniguun,सरनिगूँ
bahaati,बहाती
aake,आये
baandi,बांदी
khidamat,खिदमत
kesar,केसर
jiyaa,जीया
bahaayen,बहाएँ
jhukuun,झुकूँ
adhure,अधूरे
basthaa,बसता
haram,हरम
maanke,मानके
jaavan,जावन
issi,इसी
sin,सीन
its,इट्स
mudata,मुड़ता
bolu,बोलू
sajaaye,सजाये
kije,कीजे
ullu,उल्लू
hava,हव
like,लीके
rukega,रुकेगा
maike,मैके
mushkilein,मुश्किलें
zakmi,ज़ख़्मी
nacho,नाचो
uthare,उतारें
kamre,कमरे
nasalen,नसलें
hasun,हसूँ
phirti,फिरती
saken,सकें
chahu,चहू
yaado,यादों
sajake,सजाके
jaalamaan,जालमाँ
soyaa,सोया
umidi,उमीदी
baazar,बाज़ार
parde,परदे
daata,दाता
kanch,कांच
gobhi,गोभी
samajhakar,समझकर
hui,हुई
pusatak,पुसतक
akeli,एकली
katati,कटती
musakaye,मुस्काए
badalon,बादलों
qaatil,क़ातिल
dikhar,दिखर
rang,रन्ग
hiroinh,हिरोइन्
baney,बने
hansaaya,हँसाया
manzur,मंज़ूर
jinaa,जीना
gaadi,गाड़ी
jagati,जगती
pehli,पहली
payam,पयाम
madeene,मदीने
jaaye,जाये
lubhaaun,लुभाऊँ
khaamoshiyaan,खामोशियाँ
paharaa,पहरा
siitaa,सीता
bitaoun,बिताऊँ
bairagi,बैरागी
bolega,बोलेगा
chhitake,छिटके
mulaaqaatein,मुलाक़ातें
ravondi,रवोंदी
umar,उम्र
bulaate,बुलाते
jhola,झोला
chetak,चेतक
nagame,नग़मे
bataayen,बताएं
paaoonga,पाऊँगा
piyaa,पिय
chhipakar,छिपकर
khaatir,ख़ातिर
lutaate,लुटाते
jhel,जेल
tarangen,तरंगें
sahoo,सहूँ
gilein,गिलें
naakhuda,नाख़ुदा
jiyarava,जियरवा
badhaatii,बढ़ाती
rusvaaiyaan,रुस्वाइयाँ
sulaake,सुलाके
jaanta,जानता
kahti,कहती
musakaane,मुसकाने
sambhaalaa,सम्भाला
baantate,बाँटते
bhaagam,भागम
bhigi,भीगि
huey,हुए
binti,बिन्ती
badla,बदला
angadaayi,अँगड़ाई
bijaliyon,बिजलीयों
peeden,पीडें
sakuunga,सकूँगा
bari,बरी
nikhaar,निखार
gajre,ग्जरे
guzartha,गुज़रता
bholapan,भोलापन
mathlab,मतलब
dulaare,दुलारे
ravaani,रवानी
dilawaalon,दिलवाले
loch,लोच
paraya,पराया
taai,टाई
bhalai,भलाई
rudan,रुदन
bahalataa,बहलाता
pardesiya,परदेसिया
naal,नाल
jyot,ज्योत
taanga,टांगा
chauka,चौका
buzadili,बुज़दिली
rishtey,रिश्ते
muskaraate,मुस्कराते
miladi,मिलदी
marazi,मर्ज़ी
tarsaanaa,तरसाना
gharvaali,घरवाली
hinsa,हिंसा
jaadoogarni,जादूगरनी
chaahiyen,चाहिए
banayi,बनयी
chhipi,छिपी
levaan,लेवां
daudegi,दौड़ेगी
khilaune,खिलौने
logan,लोगन
baaruud,बारूद
bhaala,भाला
takaraaegii,टकराएगी
pappa,पापा
humako,हुमको
einka,इनका
saver,सवेर
lambiyaan,लंबियाँ
hairan,हैरान
zaher,ज़हर
jame,जमे
marod,मरोड़
hawayein,हवाएं
lein,लें
lubhaayen,लुभायें
badariya,बदरिया
taaren,तारें
svara,स्वर
chotii,चोटी
tinn,तिन्न
maatha,माथा
sadakiya,सड़किया
chaahta,चाहता
ajaanon,अजानों
zamanaa,ज़मना
kaali,काली
mir,मीर
juute,जूते
rishte,रस्ते
kahatein,कहतेइन
banaayenge,बनायेंगे
angreji,अंग्रेजी
beliya,बेलिया
pakaduun,पकडूँ
jaayengi,जाएंगी
dak,डाक
janani,जननी
patango,पतंगो
gunche,गुंचे
baike,बैके
kay,की
thaakur,ठाकुर
naghmon,नग़मों
mitne,मिटने
oye,ओये
much,मच
bipada,बिपदा
utaro,उतारो
pital,पीतल
baawadi,बावादी
thumkegi,ठुमकेगी
khilane,खिलने
jayapur,जयपुर
dooriyaan,दूरियाँ
shakalaka,शाकालाका
kyaalaat,ख़्यालात
chhupii,छुपी
chaahton,चाहतो
jaldi,जल्दी
modaa,मोड़ा
umange,उमंगें
parja,परजा
ummiden,उम्मीदें
to,तू
chint,चिंत
patari,पटरी
paayi,पायी
hori,होरी
humnawab,हमनवा
matawaala,मतवाला
cheekiimiiki,चीकीमीकी
duwa,दुवा
tadapaaye,तड़पाये
badhaaiye,बढ़ाइये
badanaama,बदनाम
mehki,महकी
peethti,पीटती
paanw,पाँव
bahaata,बहाता
sare,सरे
sabahii,सबही
bichhad,बिछड़
chaska,चस्का
gadabad,गड़बड़
puura,पूरा
chonch,चोंच
ungli,उंगली
dikhaaiye,दिखाइये
milte,मिलतें
mohabbata,मोहब्बत
banegii,बनेगी
indira,इन्दिरा
itane,इतने
palegi,पलेगी
chubhaaye,चुभाए
marhale,मरहाले
bik,बिक
chaabee,चाभी
subeh,सुबेह
sehnaa,सहना
samjhaya,समझाय
barsaaye,बर्सायें
khilaye,खिलाई
dimaago,दिमाग़ों
kada,कड़ा
main,मैं
sanvaarungi,संवारूंगी
ajanabii,अजनबी
fasaano,फ़सानो
khaane,खाने
bitaayi,बितायी
jispe,जिसपे
jule,झूले
parinde,परिन्दे
kharakarvaale,खरकरवाले
musafir,मुसाफिर
milaao,मिलाओ
bharegaa,भरेगा
rachana,रचना
rooka,रुका
machalein,मचलें
karade,करदे
bachaati,बचाती
bahrupiya,बहरूपिया
mehafil,मेहफ़िल
shobhatobara,शोभतोबरा
andheri,अंधेरी
miltaa,मिलता
paalan,पालन
kisso,किस्सों
nalawe,नलवे
chugega,चुगेगा
sulajhi,सुलझी
chanchal,चंचल
bahakaao,बहकाओ
budha,बूढ़ा
adhuri,अधूरी
paraye,पराये
mann,मां
pagdi,पगड़ी
beedi,बीड़ी
gadh,गड़
akhiyon,अखियों
raajasthaan,राजस्थान
mahiwal,महिवाल
sunanevaala,सुननेवाला
rangaruut,रंगरूट
baadal,बादिल
rache,रचे
uthaai,उठाई
sati,सती
basad,बसद
salike,सलीके
ang,अन्ग
nayya,नैया
kisey,क्या
gudeeyaa,गुड़िया
haalaa,हाला
ai,आई
bithaayegaa,बिठायेगा
bujhaayi,बुझानी
dushton,दुष्टों
dikhane,दिखने
sapanon,सपणों
betaab,बेताब
pyare,प्यारी
aasmaano,आसमानों
baichain,बैचाईन
milake,मिलाके
khwaaish,ख्वाइश
chaloon,चलूँ
kyoon,क्यों
kandha,कंधा
loge,लोगे
kinaro,किनारों
bhulaao,भुलाओ
mukarji,मुकर्जी
sharmaae,शर्माए
zaraa,जाना
swami,स्वामी
jhaanke,झाँके
wahee,वहीं
sunaayenge,सुनाएंगे
yadaarjuno,यदार्जुनो
rakshave,रक्षावे
saiya,साया
beh,बेह
vaasiyon,वासियों
tokate,टोकते
chalava,चलवा
tanaanaa,तनाना
girane,गिरने
letii,लेती
lar,लर
sakenge,सकेंगे
musakaan,मुस्कान
inhi,इन्ही
mehara,मेहरा
ravaanii,रवानी
bete,बीते
satyam,सत्यम
rusvaai,रुस्वाई
khiza,खिज़ा
mazaa,माना
kehke,कहके
kyon,क्योन
hadshah,हादशाह
deepon,दीपों
ghulati,घुलती
aandhiyaan,आंधियाँ
palatate,पलटते
haryala,हरियाला
baanh,बांह
kehata,कहता
khilaaye,खिलाएँ
samjhaati,समझाती
kirno,किरनों
badhaayi,बढ़ाई
khaak,खाक
dikhaaun,दिखाऊँ
swayamvar,स्वयम्वर
mitti,मिट्टी
royegi,रोएगी
tanhayi,तनहाई
darati,डरती
chhudaa,छुड़ा
phaakon,फाकों
jhagadne,झगड़ने
maangana,माँगना
sangit,संगीत
ulte,उलटे
hoo,हो
paayegi,पाएगी
chaahane,चाहने
imaarat,इमारत
bujhaayi,बुझाई
bekarariya,बेकरारिया
waahe,वाहे
charaaga,चराग
furaqat,फ़ुरक़त
kategee,कटेगी
laalii,लाली
gutaraguun,गुटरगूं
katrake,कतराके
chali,चाल
lootane,लूटने
chhupaaye,छुपायें
niyummaa,नियुम्मा
injh,इंझ
gajab,गजब
kalash,कलश
uska,उस्क
dhul,धुल
chumati,चूमती
kholiyon,खोलियो
jism,जिसम
tina,टीना
kaalighataaen,कालीघटाएँ
naachi,नाची
jalaati,जलाती
shokhiyan,शोख़ियाँ
aayengi,आयेगी
tadapaayegi,तड़पाएगी
karoo,करूँ
samajhti,समझती
julmi,जुलमी
vaah,वाह
dhaaye,धाये
badegi,बढ़ेगी
sudhaa,सुधा
gawaahi,गवाही
daftar,दफ़्तर
aap,अप
vattu,वट्टू
gaayenge,गाएंगे
shikaayat,शिकायत
machti,मचती
tamaashaai,तमाशाई
safal,सफल
ansuan,अँसुअन
mahaka,महका
chupana,छुपना
bhuulenge,भूलेंगे
dala,डाला
rusvaaiyaan,रुसवाइयां
daakiya,डाकिया
bhigebhige,भिगेभिगे
pachtaayegi,पछतायेगी
qusuur,क़ुसूर
mammla,मामला
kehatee,कहती
jaanakii,जानकी
milani,मिलनी
hawaayein,हवायें
lutaakar,लुटाकर
baithungi,बैठूँगी
rachaayen,रचाएं
kholane,खोलने
maangaa,मांगा
jharokha,झरोखा
atyaachaar,अत्याचार
baadashaahon,बादशाहों
naach,नाच
doluun,डोलूँ
kalla,कल्ला
ahel,अहल
va,व
naukri,नौकरी
barasen,बरसें
rukti,रुकतीं
hirday,हिरदय
larazish,लरज़िश
tadapaate,तड़पाते
adegi,अड़ेगी
humsafar,हमसफ़र
raliyaan,रलियां
aayaaz,आयाज़
menu,में
ankhiyon,अंखियों
buundan,बूंदन
drishhti,द्रिष्टी
chupaya,छुपाया
aasaan,आसाँ
khullam,खुल्लम
majboor,मजबूर
pukarun,पुकारूँ
chuudiyaan,चूड़ियां
payodhi,पयोधि
udenge,उड़ेंगे
chhaap,छाप
kayonkar,कयोंकर
vajood,वजूद
begam,बेगम
ehad,एहद
hazuur,हज़ूर
maaradi,मारदी
taang,तान
nachoongi,नाचूँगी
saans,सांस
bahakaaya,बहकाया
sikhaanaa,सिखाना
gunah,गुनाह
krishn,कृष्न
boyi,बोई
chhodte,छोड़ते
zevar,जेवर
pighalenge,पिघलेंगे
adaaye,अदायें
qaatib,क़ातिब
eksa,एकसा
barkhaa,बरखा
banmaa,बनमा
majamaa,मजमा
waal,वाल
nahar,नहर
mera,मेरा
shiwa,शिवा
gahanaa,गहना
tumasa,तुमसा
laayi,लाई
patalun,पतलून
laari,लारी
chute,छुटे
pheli,पहेली
maagii,मांगी
ding,डींग
nasiba,नसीब
jaayeinge,जाएंगे
jaaoongaa,जाऊंगा
butaan,बुतान
baawareeyaan,भाँवरिया
bramhachaari,ब्रम्हचारी
chuke,चूके
shokiyan,शोखियाँ
vaarenge,वारेंगे
sari,सरी
bandhake,बाँधके
bataaen,बताएं
teerandaazi,तीरंदाज़ी
kaan,काँ
matawaaliyaan,मतवालियाँ
bachaatii,बचाती
mahakataa,महकता
chodho,छोड़ो
karlo,करलो
kizaan,ख़िज़ाँ
garava,गरवा
ranginiyon,रंगीनियों
lakiren,लकीरें
raanjhe,राँझे
lautin,लौटीं
santon,सन्तों
banaayuun,बनाऊँ
janeman,जनेमन
diwaanon,दीवनों
toofani,तूफ़ानी
ghoomate,घूमते
motimaal,मोतीमाल
deh,देह
karar,करार
chhodo,छोड़ो
beja,बेजा
choohe,चूहे
chehra,चहरा
haafiza,हाफ़िज़
khilaataa,खिलाता
muskaayi,मुसकाई
pisi,पीसी
naakamiyon,नाकामियों
jaagen,जागें
bulbul,बुल्बुल
baduu,बड़ू
samjhna,समझना
muui,मुई
gumti,घूमती
pinjaraa,पिंजरा
degaa,देगा
bahanon,बहनों
kajre,कजरे
purjaa,पुरजा
dhene,देने
itanii,इतनी
jaagiir,जागीर
masta,मस्त
lak,लक
angadaai,अँगड़ाई
haarata,हारता
gharavaalaa,घरवाला
hami,हामी
khushiyaan,खुशियाँ
kudako,कुडको
pote,पोते
chubhti,चुभती
khut,खुट
zabaan,ज़बान
halla,हल्ला
samajhte,समझते
padengii,पड़ेंगी
saansein,सासें
hawaalon,हवालों
diyaraa,दियरा
turbat,तुर्बत
gunjaar,गुंजार
miline,मिलने
sirhaane,सिरहाने
bechaara,बेचारा
kamzor,कमज़ोर
muslim,मुसलिम
marhale,मर्हले
raqs,रक़्स
baisaakh,बैसाख
tamannaaon,तमन्नाओं
filhaal,फ़िल्हाल
aazmaayenge,आज़मायेंगे
mujjhko,मुझको
mama,मामा
taru,तरु
marhaba,मर्हबा
khalabaliya,खलबलिया
vrishhti,वृष्टि
sainkadeon,सैंकड़ों
mang,माँग
baapu,बापू
kaunse,कौनसे
raha,रहा
is,इस
sabase,सबसे
pehlaa,पहला
bewafaai,बेवफ़ाई
ikkaa,इक्का
kadamb,कदम्ब
purvaiya,पुरवैया
rivaajon,रिवाजों
sulaayegi,सुलायेगी
bhanwaraa,भँवरा
dhil,दिल
thukaraake,ठुकराके
yaka,यक
rokha,रोका
gidde,गिद्दे
nilam,नीलम
rahoonga,रहूंगा
magarbatti,मगर्बत्ति
jayenge,जायेँगे
parvaah,परवाह
kaante,काँटे
naachana,नाचना
sandali,संदली
raanjhadaa,राँझड़ा
dekhuun,देखूँ
raaho,राहो
suuliyon,सूलीयों
dhundhun,ढूँढूँ
paraayi,परायी
badalataa,बदलता
muskuraanaa,मुस्कुराना
bumbro,बुम्बरो
ubharana,उभरना
surakhi,सुरखी
naakaara,नाकारा
baaw,बाव
zaruur,ज़रूर
chhuti,छूटी
sense,सेन्से
khulane,खुलने
raftaar,रफ़्तार
bahiyan,बहियन
jinpar,जिनपर
unanchaas,उनंचास
mitaai,मिटायी
falaq,फ़लक़
anokhi,अनोखी
pahar,पहर
tujhey,तुझे
jawab,जवाब
baandhegaa,बांधेगा
aaida,आईदा
bataayega,बताएगा
gangaa,गंगा
babua,बबुआ
bachchpan,बचपन
bitaaye,बिताये
poochhen,पूछें
pareet,प्रीत
pukaarega,पुकारेगा
sargamon,सरगमों
chahti,चाहती
baati,बाति
sanyaasi,सन्यासी
jhil,झील
sehraa,सहरा
tadapanaa,तड़पना
bhatkaye,भटकाये
rikhab,रिखब
sanwaare,सँवारे
mujhpar,मुझपर
kahate,कहते
bewaqt,बेवक़्त
rhim,रिम
sunehri,सुनेह्री
ke,के
aman,अमन
pakado,पकड़ो
jhoomke,झूमके
kahati,कहती
jaaoge,जाओगे
jalaate,जलाते
baawari,बावरी
pehnaate,पहनाते
gulistaan,गुलिस्ताँ
basi,बासी
bararue,बररुए
cheekhta,चीखता
panate,पनते
jine,जिने
kaviraaj,कविराज
nikaloge,निकलोगे
mantra,मन्त्र
pitaayi,पिटाई
aazadi,आज़ादी
kisse,किसे
likhane,लिखने
dolti,डोलती
pehchaane,पहचाने
taraashi,तराशि
rangaraliya,रंगरलिया
tukada,तुकड़ा
bekhudhi,बेखुदी
dukhaare,दुखारे
pighaltaa,पिघलता
nachaayen,नचाएँ
haye,हाये
ataki,अटकी
woh,वह
amn,अम्न
taali,टाली
bundan,बूँदन
tuur,तूर
dikhaayein,दिखायें
takaraana,टकराना
naaraazi,नाराज़ी
zindagaanii,ज़िंदगानी
nihaar,निहा
rumajhum,रुमझुम
madaari,मदारी
maanun,मानूँ
rulaaen,रुलाएं
seharaav,सेहराव
maangataa,मांगता
masalne,मसलने
gholi,घोली
agg,अग्ग
zindagani,ज़िंदगानी
uuparavaala,ऊपरवाला
billiyaan,बिल्लियां
pakheru,पखेरु
rakna,रखना
raajapootaana,राजपूताना
saacha,साचा
hansanaa,हंसना
asmaan,आसमान
sam,सम
dorii,डोरी
raaz,राज
inakaa,इनका
bhaar,भार
rachaaye,रचाये
digari,डिगरी
milii,मिलीं
vale,वाले
kisalie,किसलिए
batalaayi,बतलायी
vaisa,वैसा
sunale,सुनले
mujhmein,मुझमें
kitane,कितनी
taan,तान
shikaarapuri,शिकारपुरी
minnatein,मिन्नतें
baavri,बावरे
yaqeen,यक़ीन
sarfaroshi,सरफ़रोशी
saans,साँस
zaalamaa,ज़ालमा
saanvaraa,साँवरा
jaahir,जाहिर
satak,सटाक
suno,सूनो
chaahoongi,चाहूंगी
gaataa,गाता
armaanoki,अरमानों
qatra,क़तरा
sachcha,सच्चा
paniyaa,पनिया
hind,हिन्द
parvaaz,परवाज़
qasrat,कसरत
parada,परदा
ikaraar,इकरार
aasama,आसमा
public,पब्लिक
duniya,दुनियाँ
itaraat,इतरात
jhulney,जुलने
masihaa,मसीहा
bramha,ब्रम्हा
chehra,चेहरा
muhalla,मुहल्ला
baccha,बच्चा
mal,मल
naachein,नाचें
dilaruba,दिलरुबा
naukaraani,नौकरानी
panna,पन्ना
dhundhenge,ढूँढेंगे
banane,बनाने
baad,बाद
bigaada,बिगाड़ा
pichhee,पीछेए
maagun,माँगूँ
uddhar,उद्धार
gamon,ग़मों
virahan,विरहन
jagaaii,जगाई
baavariya,बावरिया
silsiley,सिलसिले
dagariyaa,डगरिया
sharmaanaa,शर्माना
ding,दिन
qayaamat,क़यामत
karo,करो
gula,घुला
beton,बेटों
sajaake,सजाके
karam,कर्म
dilpar,दिलपर
dhadkaaoge,धड़काओगे
ladaaye,लड़ाये
khaab,खाब
yatan,यतन
kshama,क्षमा
tadapaayenge,तड़पाएंगे
chhudaakar,छुड़ाकर
vishvaas,विश्वास
khenchi,खेंची
irafaan,इरफ़ान
band,बाँध
nahin,नहीन
haaro,हारो
senkate,सेंकते
sapane,सपने
barso,बर्सो
raajendra,राजेन्द्र
vandaayiye,वंडाईये
pahachaan,पहचान
kaamoshiyon,ख़ामोशियों
chuudii,चूड़ी
usako,उसको
raas,रास
baadaa,बादा
varoz,वरोज़
laajavaab,लाजवाब
sacha,सच
bighad,बिगड़
rangin,रंगीन
cheet,चीत
parbaton,परबतों
ando,अंदो
drum,द्रुम
mahekne,महकने
padha,पढ़ा
charani,चरनी
aaji,आजि
appa,अप्पा
buundon,बूंदों
aasman,आसमान
bichaara,बिचारा
hamsafar,हम्सफ़र
jumlaa,जुम्ला
phiraye,फिराये
wachan,वचन
laut,लौट
aave,आये
ashru,अश्रु
eeqaraar,ईक़रार
chhahe,चाहे
chhudaavo,छुड़ावो
dhokaa,धोका
milne,मिल्ने
bhaalii,भाली
duraaye,दुराये
ajnabee,अजनबी
toom,तूम
sjaa,स्जा
lutaayega,लुटायेगा
saalo,सालों
marm,मर्म
rou,रू
bebaaq,बेबाक़
panaa,पनाह
bhara,बैरा
jagaaegi,जगाएगी
naraj,नाराज़
lalaa,लला
sunaa,सूना
haai,हाय
jaante,जानते
janti,जनती
takaraayi,टकरायी
uss,उस
dag,दाग़
muuthe,मूठे
tamaasha,तमाशा
khudaayi,खुदाई
bandhne,बंधने
tadpaaye,तड़पाए
khincha,खिंचा
tadape,तड़पे
bhaanja,भांजा
bardaasht,बर्दाश्त
ziddi,ज़िद्दी
jaaten,जातें
sajanaa,सजना
ummid,उम्मीद
uthaaun,उठाऊँ
bajaake,बजाके
churaani,चुरानी
vahin,वहीं
gauri,गुरी
devi,देवी
baalma,बालमा
baali,बाली
rekh,रेख
suhaas,सुहास
panaho,पनाहों
kuchh,कुछ
mohe,मोहे
jiyaa,जिया
jhuumari,झूमरी
bidaai,बिदाई
doharaati,दोहराती
angaaraa,अंगारा
taani,तानी
guzra,गुज़रा
baadariyaa,बादरिया
hangaame,हंगामे
jinat,जीनत
chillaate,चिल्लाते
kinve,कींवे
sharmaye,शरमाये
milati,मिलती
daam,दाम
krishhnaa,कृष्ना
pahani,पहनी
magan,मगन
uljhe,उलझे
kheti,खेती
jiyegaa,जियेगा
khvaabon,ख्वाबों
duhaaii,दुहाई
chhupate,छुपाते
bangali,बंगाली
kasarat,कसरत
lalakaara,ललकारा
jiya,जीया
phenko,फेंको
balaayein,बलाएँ
chintaa,चिंता
chhedegi,छेड़ेगी
baahoin,बाहों
kaga,कागा
kaccha,कच्चा
dhoondon,ढूँदों
bich,बिछ
chhalane,छलने
bachaini,बचानी
saras,सारस
rupaiyyaa,रुपैय्या
deharaaduun,देहरादून
pehachaan,पहचान
adam,अदम
charakhe,चरखे
muda,मुड़ा
zulfon,ज़ुल्फों
tu,टू
bambe,बम्बे
qaum,क़ौम
banungi,बनूँगी
chhalka,छलका
chukaayen,चुकाएं
bason,बसों
khudaai,ख़ुदाई
bataoo,बताऊँ
shera,शेरा
badraa,बदरा
jaayegee,जाएगी
shor,शोर
baaho,बाँहों
honthon,होंथों
dugna,दुगना
bachaata,बचाता
bhaagne,भागने
chand,चंद
hanjuaan,हंजुआँ
peshkar,पेश्तर
baavre,बावरे
dasa,दस
swaami,स्वामि
jisamen,जिसमें
milte,मिले
kaam,का
raaniyaan,रानियाँ
izahaar,इज़हार
saanwariyaa,सांवरीया
hansega,हँसेगा
jayiyo,जइयो
pavan,पवन
garam,गरम
jaati,जाती
pinjara,पिंजरा
barsoon,बरसों
jaalee,जाली
paate,पाटे
kahengi,कहेंगी
dekhee,देखीं
